# The portion FNDDS calls typical for each food, in grams. Generated by
# tools/TypicalPortionQuery. Do not edit by hand.
# Source: "stated" is the catalogue's own Quantity-not-specified amount;
# "median" is the middle of the portions it does list, for foods with no default.
# The grade is NOT computed on this. A letter is per 100 g and does not move with
# how much was eaten (ComponentStrategy). This is what the product shows beside it.
FdcId,Grams,Source,Description
2705708,21,stated,"Cheese, Brie"
2705709,21,stated,"Cheese, Cheddar"
2705710,21,stated,"Cheese, Cheddar, reduced fat"
2705711,21,stated,"Cheese, Cheddar, nonfat or fat free"
2705712,21,stated,"Cheese, Colby"
2705713,21,stated,"Cheese, Colby Jack"
2705714,21,stated,"Cheese, Feta"
2705715,21,stated,"Cheese, Fontina"
2705716,21,stated,"Cheese, goat"
2705717,21,stated,"Cheese, Gouda or Edam"
2705718,21,stated,"Cheese, Gruyere"
2705719,21,stated,"Cheese, Limburger"
2705720,21,stated,"Cheese, Monterey"
2705721,21,stated,"Cheese, Monterey, reduced fat"
2705722,21,stated,"Cheese, Mozzarella, NFS"
2705723,21,stated,"Cheese, Mozzarella, part skim"
2705724,21,stated,"Cheese, Mozzarella, reduced sodium"
2705725,21,stated,"Cheese, Mozzarella, nonfat or fat free"
2705726,21,stated,"Cheese, Muenster"
2705727,21,stated,"Cheese, Muenster, reduced fat"
2705728,6.2,stated,"Cheese, Parmesan, dry grated"
2705729,7,stated,"Cheese, Parmesan, dry grated, reduced fat"
2705730,5,stated,"Cheese, Parmesan, hard"
2705731,7.5,stated,"Cheese, Parmesan, dry grated, fat free"
2705732,21,stated,"Cheese, Port du Salut"
2705733,21,stated,"Cheese, Provolone"
2705734,21,stated,"Cheese, provolone, reduced fat"
2705735,21,stated,"Cheese, Swiss"
2705736,21,stated,"Cheese, Swiss, reduced sodium"
2705737,21,stated,"Cheese, Swiss, reduced fat"
2705738,21,stated,"Cheese, Swiss, nonfat or fat free"
2705739,21,stated,"Cheese, Cheddar, reduced sodium"
2705740,123,stated,"Cheese, paneer"
2705741,21,stated,"Cheese, Mexican blend"
2705742,21,stated,"Cheese, Mexican blend, reduced fat"
2705743,21,stated,"Queso Anejo, aged Mexican cheese"
2705744,21,stated,"Queso Asadero"
2705745,21,stated,"Queso Fresco"
2705746,21,stated,"Queso cotija"
2705747,105,stated,"Cheese, cottage, NFS"
2705748,105,stated,"Cheese, cottage, creamed, large or small curd"
2705749,105,stated,"Cottage cheese, farmer's"
2705750,123,stated,"Cheese, Ricotta"
2705751,113,stated,"Cheese, cottage, with fruit"
2705752,113,stated,"Cheese, cottage, with vegetables"
2705753,105,stated,"Cheese, cottage, dry curd"
2705754,105,stated,"Cheese, cottage, salted, dry curd"
2705755,64,stated,"Puerto Rican white cheese"
2705756,113,stated,"Cheese, cottage, low fat"
2705757,113,stated,"Cheese, cottage, lowfat, with fruit"
2705758,113,stated,"Cheese, cottage, lowfat, low sodium"
2705759,113,stated,"Cheese, cottage, lowfat, lactose reduced"
2705760,30,stated,"Cream cheese, regular, plain"
2705761,30,stated,"Cream cheese, regular, flavored"
2705762,30,stated,"Cream cheese, light"
2705763,21,stated,"Cheese, American and Swiss blends"
2705764,21,stated,"Cheese, American"
2705765,21,stated,"Cheese, American, reduced fat"
2705766,21,stated,"Cheese, American, nonfat or fat free"
2705767,21,stated,"Cheese, American, reduced sodium"
2705768,21,stated,"Cheese spread, American or Cheddar cheese base, reduced fat"
2705769,30,stated,"Cream cheese, fat free"
2705770,21,stated,"Cheese, processed cheese food"
2705771,21,stated,"Cheese, processed, with vegetables"
2705772,14,stated,"Cheese,  with wine"
2705773,21,stated,"Cheese spread, American or Cheddar cheese base"
2705774,30,stated,"Cheese spread, Swiss cheese base"
2705775,30,stated,"Cheese spread, cream cheese"
2705776,28,stated,"Cheese spread, pressurized can"
2705777,21,stated,"Imitation cheese"
2705778,120,stated,"Cheese, cottage cheese, with gelatin dessert"
2705779,120,stated,"Cheese, cottage cheese, with gelatin dessert and fruit"
2705780,120,stated,"Cheese, cottage cheese, with gelatin dessert and vegetables"
2705781,30,stated,"Cheese ball"
2705782,60,stated,"Artichoke dip"
2705783,60,stated,"Spinach and artichoke dip"
2705784,60,stated,"Seafood dip"
2705785,60,stated,"Cheese dip with chili pepper"
2705786,60,stated,"Cheese dip"
2705787,80,stated,"Topping from cheese pizza"
2705788,98,stated,"Topping from vegetable pizza"
2705789,82,stated,"Topping from meat pizza"
2705790,102,stated,"Topping from meat and vegetable pizza"
2705791,52,stated,"Cheese fondue"
2705792,48,stated,"Cheese souffle"
2705793,22,stated,"Welsh rarebit"
2705794,102,stated,"Cheese sandwich, NFS"
2705795,102,stated,"Cheese sandwich, American cheese, on white bread"
2705796,102,stated,"Cheese sandwich, American cheese, on wheat bread"
2705797,102,stated,"Cheese sandwich, cheddar cheese, on white bread"
2705798,102,stated,"Cheese sandwich, cheddar cheese, on wheat bread"
2705799,102,stated,"Cheese sandwich, reduced fat cheese, on white bread"
2705800,102,stated,"Cheese sandwich, reduced fat cheese, on wheat bread"
2705801,116,stated,"Grilled cheese sandwich, NFS"
2705802,116,stated,"Grilled cheese sandwich, American cheese, on white bread"
2705803,116,stated,"Grilled cheese sandwich, American cheese, on wheat bread"
2705804,116,stated,"Grilled cheese sandwich, cheddar cheese, on white bread"
2705805,116,stated,"Grilled cheese sandwich, cheddar cheese, on wheat bread"
2705806,116,stated,"Grilled cheese sandwich, reduced fat cheese, on white bread"
2705807,116,stated,"Grilled cheese sandwich, reduced fat cheese, on wheat bread"
2705808,32,stated,"Cheese sauce"
2705809,65,stated,"Alfredo sauce"
2705810,65,stated,"Alfredo sauce with added vegetables"
2705811,65,stated,"Alfredo sauce with meat"
2705812,65,stated,"Alfredo sauce with meat and added vegetables"
2705813,65,stated,"Alfredo sauce with poultry"
2705814,65,stated,"Alfredo sauce with poultry and added vegetables"
2705815,65,stated,"Alfredo sauce with seafood"
2705816,65,stated,"Alfredo sauce with seafood and added vegetables"
2705817,57,stated,"Mozzarella sticks, breaded, baked, or fried"
2705818,80,stated,"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing"
2705819,60,stated,"Meat, NFS"
2705820,85,stated,"Meat, ground, NFS"
2705821,70,stated,"Baby Toddler meat, NFS"
2705822,60,stated,"Beef, NFS"
2705823,160,stated,"Steak, NS as to type of meat, NS as to fat eaten"
2705824,160,stated,"Beef, steak, NFS"
2705825,160,stated,"Beef, steak, chuck"
2705826,160,stated,"Beef, steak, cube"
2705827,160,stated,"Beef, steak, flank"
2705828,240,stated,"Beef, steak, ribeye, NS as to fat eaten"
2705829,240,stated,"Beef, steak, ribeye, lean and fat eaten"
2705830,240,stated,"Beef, steak, ribeye, lean only eaten"
2705831,160,stated,"Beef, steak, round"
2705832,160,stated,"Beef, steak, sirloin, NS as to fat eaten"
2705833,160,stated,"Beef, steak, sirloin, lean and fat eaten"
2705834,160,stated,"Beef, steak, sirloin, lean only eaten"
2705835,240,stated,"Beef, steak, strip, NS as to fat eaten"
2705836,240,stated,"Beef, steak, strip, lean and fat eaten"
2705837,240,stated,"Beef, steak, strip, lean only eaten"
